
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

kansas-city-switzerland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-t-rkiye.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-tunisia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-uruguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-usa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-uzbekistan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-algeria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-argentina.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
las-vegas-australia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-austria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-belgium.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-bosnia-and-herzegovina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-brazil.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
las-vegas-c-te-d-ivoire.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-cabo-verde.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-colombia.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
las-vegas-congo-dr.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-croatia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-cura-ao.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-czechia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-ecuador.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-egypt.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-england.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
las-vegas-france.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-germany.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-ghana.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-haiti.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-ir-iran.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-iraq.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-japan.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
las-vegas-jordan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-korea-republic.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-mexico.json: 10 venues, 2 kept country tag, 8 stripped to no-flag
las-vegas-morocco.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-netherlands.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-new-zealand.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-norway.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
